title,author,book_id,source,cover_url,asset_file,decision,confidence,reason
An Autobiography,Theodore Roosevelt,an-autobiography,standard-ebooks,/covers/an-autobiography.jpg,public/covers/covers/an-autobiography.jpg,remove,1,public-domain Standard Ebooks cover
An Enquiry Concerning Human Understanding,David Hume,an-enquiry-concerning-human-understanding,standard-ebooks,/covers/an-enquiry-concerning-human-understanding.jpg,public/covers/covers/an-enquiry-concerning-human-understanding.jpg,remove,1,public-domain Standard Ebooks cover
An Ideal Husband,Oscar Wilde,an-ideal-husband,standard-ebooks,/covers/an-ideal-husband.jpg,public/covers/covers/an-ideal-husband.jpg,remove,1,public-domain Standard Ebooks cover
Anna Karenina,Leo Tolstoy,anna-karenina,standard-ebooks,/covers/anna-karenina.jpg,public/covers/covers/anna-karenina.jpg,remove,1,public-domain Standard Ebooks cover
Anne of Avonlea,L. M. Montgomery,anne-of-avonlea,standard-ebooks,/covers/anne-of-avonlea.jpg,public/covers/covers/anne-of-avonlea.jpg,remove,1,public-domain Standard Ebooks cover
Anne of Green Gables,L. M. Montgomery,anne-of-green-gables,standard-ebooks,/covers/anne-of-green-gables.jpg,public/covers/covers/anne-of-green-gables.jpg,remove,1,public-domain Standard Ebooks cover
Anne of the Island,L. M. Montgomery,anne-of-the-island,standard-ebooks,/covers/anne-of-the-island.jpg,public/covers/covers/anne-of-the-island.jpg,remove,1,public-domain Standard Ebooks cover
Antic Hay,Aldous Huxley,antic-hay,standard-ebooks,/covers/antic-hay.jpg,public/covers/covers/antic-hay.jpg,remove,1,public-domain Standard Ebooks cover
Antigone,Sophocles,antigone,standard-ebooks,/covers/antigone.jpg,public/covers/covers/antigone.jpg,remove,1,public-domain Standard Ebooks cover
Antony and Cleopatra,William Shakespeare,antony-and-cleopatra,standard-ebooks,/covers/antony-and-cleopatra.jpg,public/covers/covers/antony-and-cleopatra.jpg,remove,1,public-domain Standard Ebooks cover
Armageddon 2419 A.D.,Philip Francis Nowlan,armageddon-2419-a-d,standard-ebooks,/covers/armageddon-2419-a-d.jpg,public/covers/covers/armageddon-2419-a-d.jpg,remove,1,public-domain Standard Ebooks cover
Arms and the Man,George Bernard Shaw,arms-and-the-man,standard-ebooks,/covers/arms-and-the-man.jpg,public/covers/covers/arms-and-the-man.jpg,remove,1,public-domain Standard Ebooks cover
Around the World in Eighty Days,Jules Verne,around-the-world-in-eighty-days,standard-ebooks,/covers/around-the-world-in-eighty-days.jpg,public/covers/covers/around-the-world-in-eighty-days.jpg,remove,1,public-domain Standard Ebooks cover
Arrowsmith,Sinclair Lewis,arrowsmith,standard-ebooks,/covers/arrowsmith.jpg,public/covers/covers/arrowsmith.jpg,remove,1,public-domain Standard Ebooks cover
Arsène Lupin Versus Herlock Sholmes,Maurice Leblanc,arsene-lupin-versus-herlock-sholmes,standard-ebooks,/covers/arsene-lupin-versus-herlock-sholmes.jpg,public/covers/covers/arsene-lupin-versus-herlock-sholmes.jpg,remove,1,public-domain Standard Ebooks cover
As You Like It,William Shakespeare,as-you-like-it,standard-ebooks,/covers/as-you-like-it.jpg,public/covers/covers/as-you-like-it.jpg,remove,1,public-domain Standard Ebooks cover
"Ashenden: Or, The British Agent",W. Somerset Maugham,ashenden,standard-ebooks,/covers/ashenden.jpg,public/covers/covers/ashenden.jpg,remove,1,public-domain Standard Ebooks cover
At the Back of the North Wind,George MacDonald,at-the-back-of-the-north-wind,standard-ebooks,/covers/at-the-back-of-the-north-wind.jpg,public/covers/covers/at-the-back-of-the-north-wind.jpg,remove,1,public-domain Standard Ebooks cover
At the Earth’s Core,Edgar Rice Burroughs,at-the-earths-core,standard-ebooks,/covers/at-the-earths-core.jpg,public/covers/covers/at-the-earths-core.jpg,remove,1,public-domain Standard Ebooks cover
At the Mountains of Madness,H. P. Lovecraft,at-the-mountains-of-madness,standard-ebooks,/covers/at-the-mountains-of-madness.jpg,public/covers/covers/at-the-mountains-of-madness.jpg,remove,1,public-domain Standard Ebooks cover
Aurora Floyd,M. E. Braddon,aurora-floyd,standard-ebooks,/covers/aurora-floyd.jpg,public/covers/covers/aurora-floyd.jpg,remove,1,public-domain Standard Ebooks cover
Babbitt,Sinclair Lewis,babbitt,standard-ebooks,/covers/babbitt.jpg,public/covers/covers/babbitt.jpg,remove,1,public-domain Standard Ebooks cover
Bambi: A Life in the Woods,Felix Salten,bambi,standard-ebooks,/covers/bambi.jpg,public/covers/covers/bambi.jpg,remove,1,public-domain Standard Ebooks cover
Barchester Towers,Anthony Trollope,barchester-towers,standard-ebooks,/covers/barchester-towers.jpg,public/covers/covers/barchester-towers.jpg,remove,1,public-domain Standard Ebooks cover
Béatrix,Honoré de Balzac,beatrix,standard-ebooks,/covers/beatrix.jpg,public/covers/covers/beatrix.jpg,remove,1,public-domain Standard Ebooks cover
Before Adam,Jack London,before-adam,standard-ebooks,/covers/before-adam.jpg,public/covers/covers/before-adam.jpg,remove,1,public-domain Standard Ebooks cover
"Behind a Mask: Or, a Woman’s Power",Louisa May Alcott,behind-a-mask,standard-ebooks,/covers/behind-a-mask.jpg,public/covers/covers/behind-a-mask.jpg,remove,1,public-domain Standard Ebooks cover
Behind That Curtain,Earl Derr Biggers,behind-that-curtain,standard-ebooks,/covers/behind-that-curtain.jpg,public/covers/covers/behind-that-curtain.jpg,remove,1,public-domain Standard Ebooks cover
Bellarion the Fortunate,Rafael Sabatini,bellarion-the-fortunate,standard-ebooks,/covers/bellarion-the-fortunate.jpg,public/covers/covers/bellarion-the-fortunate.jpg,remove,1,public-domain Standard Ebooks cover
Ben Hur: A Tale of the Christ,Lew Wallace,ben-hur,standard-ebooks,/covers/ben-hur.jpg,public/covers/covers/ben-hur.jpg,remove,1,public-domain Standard Ebooks cover
Beowulf,Anonymous,beowulf,standard-ebooks,/covers/beowulf.jpg,public/covers/covers/beowulf.jpg,remove,1,public-domain Standard Ebooks cover
